Vivado Simulator 2019.2
Time resolution is 1 ps
InputAddress	CurrentAddress
00000000	00000000
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
00000101	00000101
00000110	00000110
00000111	00000111
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
00000101	00000101
00000110	00000110
00000111	00000111
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
00000101	00000101
00000110	00000110
00000111	00000111
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
00000101	00000101
00000110	00000110
00000111	00000111
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
00000101	00000101
00000110	00000110
00000111	00000111
00000001	00000001
00000010	00000010
00000011	00000011
00000100	00000100
$finish called at time : 200 ns : File "/home/cendue/kylelemm/CSE490/CSE490-Project1.srcs/sources_1/new/program_counter_tb.v" Line 65
